__v,_id,continent_id,cooktime,nutrition_id,preptime,recipe_description,recipe_id,recipe_ingredients,recipe_name,recipe_pic,recipe_steps,servings,tag_id
0,638d8163b849355fa19a4b63,6,15,1,30,"Wake up on the right side of the bed with a stack of sweet, cozy, and simple banana pancakes. This top-rated banana pancake recipe is easy to make and it comes together in just 15 minutes, so you don't have to wake up early to enjoy a satisfying breakfast. Learn how to make, store, and serve the best banana pancakes ever.",1,"[""1 cup all-purpose flour"",""1 tablespoon white sugar"",""2 teaspoons baking powder"",""1 teaspoon salt"",""1 egg, beaten"",""1 cup milk"",""2 tablespoons vegetable oil"",""2 ripe bananas, mashed""]",Banana Pancakes,../assets/recipes/recipe-4.jpeg,"[""Combine flour, white sugar, baking powder, and salt in a bowl. Mix together egg, milk, vegetable oil, and bananas in a second bowl."",""Stir flour mixture into banana mixture; batter will be slightly lumpy."",""Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake. Cook until pancakes are golden brown, 3 to 5 minutes per side. Serve hot.""]",6,"[5,2,3,4]"
0,639085d5a8d781b0470697b7,2,420,2,60,"Most sprinkles ice creams just add colored sprinkles to a plain, unflavored sweet cream base. That's pretty boring. This recipe uses candy-colored, delightfully artificially flavored cereal (Fruity Pebbles, specifically, but Trix and Froot Loops would work well) to make something that's far more fun and deserving of the sprinkles that go into it.",2,"[""2 2/3 cups heavy cream"",""1 1/3 cups whole milk"",""2 cups fruit-flavored cereal"",""6 large egg yolks"",""3/4 cup sugar"",""1/2 teaspoon kosher salt"",""1 cup sprinkles""]",Sprinkles Ice Cream Recipe,../assets/recipes/sprinkles-ice-cream.webp,"[""In a large, heavy saucepan, bring cream and milk to a simmer over medium heat. Turn off heat, stir in cereal, cover, and let steep for 20 minutes. Meanwhile, in a separate heavy-bottomed saucepan, whisk together egg yolks and sugar until the mixture lightens in color and is fully combined."",""Pour cereal-dairy mixture through a fine mesh strainer into a clean bowl. Push on cereal mush with a spoon to extract as much as much dairy as possible, but don't press flakes of cereal through the strainer. Discard cereal. Strained dairy should yield 3 cups; measure out that amount, adding more cream and milk in a 2 to 1 ratio if needed."",""Quickly pour dairy into saucepan with egg yolks and sugar, whisking rapidly to completely combine. Place pot over medium-low heat and cook, whisking frequently, until a custard forms on a spoon and a finger swiped across the back leaves a clean line, or until custard temperature reaches 170°F. Stir in salt to taste."",""Strain custard through a fine mesh strainer and either chill in ice bath or in refrigerator until it is very cold, about 40°F. Churn in ice cream maker according to manufacturer's instructions, adding in sprinkles during last minute of churn, then transfer to an airtight container and chill in freezer for at least 4 hours.""]",8,"[5,6,7,2]"
0,63908bf0983c8e8259c36ce5,3,15,3,15,"Some folks balk at the idea of putting American cheese anywhere near their burger. Cheese? You call that stuff cheese? More like orange chemical plasti-crap. No thanks! they say, as they peel off the orange slices and fling them against the wall all angry-like",3,"[""2 ounces coarsely grated aged Comté cheese"",""1 teaspoon instant flour (like Wondra)"",""2 teaspoons heavy cream or milk"",""1/4 teaspoon vegetable oil"",""8 ounces of freshly ground beef, formed into two 4-ounce balls"",""Kosher salt and freshly ground black pepper"",""2 toasted hamburger buns"",""Toppings and condiments as desired""]",Seared Burgers With Easy-Melting Comté Cheese,../assets/recipes/steamed-cheese-burger.webp,"[""Combine cheese, flour, and milk in a small bowl and toss with a spoon to combine. Divide mixture evenly between two small ramekins and set aside. Set a steamer insert into a large saucepot with 1 inch of water. Bring water to a simmer over medium-high heat and cover pot."",""Heat vegetable oil in a 10-inch cast iron or stainless steel skillet over high heat until smoking. Add beef balls to skillet and smash firmly with a stiff spatula into 4- to 4 1/2-inch patties. Season generously with salt and pepper."",""While patties cook on first side, transfer cheese cups to steamer and close lid. After the first side is well browned (about 1 1/2 minutes), carefully scrape patties up from bottom us skillet using a stiff spatula and flip. Season top side with salt and pepper. Continue to cook until second side is browned, about 1 minute longer."",""Transfer patties to toasted bun bottoms. Carefully pick up a ramekin full of cheese with a pot holder and stir with a spoon until homogenous and completely smooth. Scrape cheese out of ramekin over burger. Repeat with second burger. Serve immediately with condiments and toppings as desired.""]",2,"[4,3,7,1]"
,63909e78502aa5ee4b303f76,4,15,4,15,"In the world of cooking, dishes labeled ""Florentine"" almost always feature spinach, so it's no surprise that that's the calling card of this classic omelette. To round out all those healthy green leaves is a generous amount of melted Gruyere or Swiss cheese, but don't let the short ingredient list fool you: This omelette is packed with flavor. It's also, in the case of this recipe, packed with a truly generous amount of filling, which makes this five-egg omelette a meal that can easily fill two people, if not more.",4,"[""5 large eggs"",""Kosher salt and freshly ground black or white pepper"",""3 1/2 ounces (100g) grated Gruy�re or Swiss cheese"",""2 tablespoons (30g) unsalted butter, divided"",""2 medium cloves garlic, minced"",""1 pound (450g) fresh Savoy spinach, thoroughly washed, or 10 ounces (283g) defrosted frozen spinach""]",Florentine Omelette With Spinach and Cheese,../assets/recipes/spinach-cheese-omelette.webp,"[""In a medium bowl, season eggs with salt and pepper, then whisk until homogeneous and frothy. Set aside."",""Add cheese to a separate medium heatproof bowl, and line a large plate with a double layer of paper towels. In a 10-inch nonstick skillet, melt 1 tablespoon (15g) butter over medium-high heat. Add garlic and cook, stirring frequently, until garlic is aromatic and just begins to soften, about 30 seconds."",""If using fresh spinach: Add spinach to skillet, cover, and cook until just wilted, about 2 minutes (you may have to press down on the spinach with the lid at first to cover, but the spinach will rapidly lose volume as it wilts). Uncover, season with salt and pepper, and stir to combine. Increase heat to medium-high and cook, stirring frequently, until spinach is very soft and most of the liquid it has released has evaporated, about 4 minutes."",""If using defrosted frozen spinach: Add spinach to skillet, season with salt and pepper, and stir well to combine. Increase heat to medium-high and cook, uncovered, until excess water has evaporated, about 4 minutes."",""Transfer cooked spinach to paper towel-lined plate, roll up in the towels, and squeeze gently to extract any additional excess moisture; discard paper towels and any accumulated liquid. Transfer hot spinach to bowl with cheese."",""Wipe out now-empty skillet, and melt remaining 1 tablespoon (15g) butter over medium heat, swirling frequently, until butter is lightly browned. Re-whisk eggs until foamy, then add to skillet and cook, using a silicone spatula to push the edges in toward the center as they set and tilting the pan to spread the uncooked egg underneath. Continue pushing in the edges of the eggs and tilting the skillet, working all around the pan, until omelette is almost set, about 45 seconds."",""Sprinkle spinach and cheese mixture over half of omelette, remove from heat, cover, and let omelette sit until mostly or fully cooked through on top (depending on your preferred consistency), about 1 minute."",""Using silicone spatula, loosen the edges of the omelette from skillet and shake skillet to ensure that it's not stuck. Carefully fold omelette in half to enclose the filling, then slide it onto a serving plate and serve immediately.""]",2,"[1,7,3,6]"
,63909e78502aa5ee4b303f77,1,90,5,90,"Traditional Memphis dry ribs are cooked over charcoal over medium heat, brushed with a vinegar mop every 15-20 minutes, and then finished with a dry rub. The result? Tender bones of tangy meat that showcase the hot-and-sweet herbal, earthy rub.",5,"[""1/2 cup paprika"",""1/3 cup dark brown sugar"",""1/4 cup kosher salt"",""2 tablespoons granulated garlic"",""1 tablespoon celery salt"",""1 tablespoon chile powder"",""1 tablespoon freshly ground black pepper"",""2 teaspoons onion powder"",""2 teaspoons dried thyme"",""2 teaspoons dried oregano"",""2 teaspoons mustard powder"",""1 teaspoon celery seed"",""1/2 teaspoon cayenne pepper""]",Memphis-Style Dry Ribs,../assets/recipes/memphis-dry-ribs.webp,"[""Mix together paprika, dark brown sugar, kosher salt, granulated garlic, celery salt, chili powder, black pepper, onion powder, dried thyme, dried oregano, mustard powder, and celery seed in a small bowl."",""Fire up smoker or grill to 325�F. If using a vertical water smoker, such as the Weber Smokey Mountain, place ribs on top rack with water pan removed. If using a grill or offset smoker, place ribs over indirect heat. Cook until ribs have a slight bend when lifted from one end, about 1 1/2 hours for baby backs and 2 hours for St. Louis-cut ribs, brushing liberally with mop every 15-20 minutes."",""Transfer ribs to cutting board and brush with mop. Liberally coat ribs with rub and let rest for 5 minutes. Slice ribs and serve immediately.""]",4,"[1,3,5,7]"
,6390a06f502aa5ee4b303f7d,5,15,6,15,"Hearts of palm, also known as palmito, chonta, and swamp cabbage, grow in the tropical climates of Central and South America, and they're widely available in canned or jarred form. When harvested, they're cut into long cylinders that resemble thick spears of white asparagus, and they have a creamy, hearty texture, with a delicate vegetal flavor that's comparable to artichokes. While delicious raw, they can also be fried, grilled, baked, shredded and used as a meat alternative, or blended into a dip.",6,"[""1 pound (450g) ripe plum tomatoes (about 5 tomatoes), cut into 1/4-inch dice "",""1 teaspoon (4g) Diamond Crystal kosher salt, plus more for seasoning; for table salt, use half as much by volume or equal amount by weight"",""One 14-ounce (400g) can hearts of palm, drained and cut into 1/4-inch dice"",""1/4 red onion (about 2 ounces; 60g), finely diced"",""2 medium garlic cloves (10g), finely grated or minced"",""Tortilla chips, for serving (optional)""]",Hearts of Palm Salsa,../assets/recipes/hearts-of-palm-salsa.webp,"[""In a large bowl, add tomatoes and salt and toss to combine. Transfer tomatoes to a fine-mesh strainer or colander and set inside large bowl. Let drain for 30 minutes; discard liquid and wipe out bowl."",""In now-empty bowl, add drained tomatoes, hearts of palm, onion, garlic, jalape�o, cilantro, and lime juice; mix until thoroughly combined."",""Serve immediately with tortilla chips, or transfer to an airtight container and refrigerate for up to 4 days.""]",3,"[7,6,5,4]"
,6390a06f502aa5ee4b303f7e,7,35,7,5,"I have a rule about recipes: never trust one where the writer professes to hate the dish or a key ingredient in it. It's an easy angle for the recipe writer, who's usually trying to convince the reader that this version is what made them see the light, but it doesn't exactly inspire confidence. And yet here I am, about to tell you of my lifelong dislike of spaghetti squash, and the journey I took to learn how to enjoy it, which culminated in you guessed it this absolutely lovely autumnal slaw.",7,"[""One 3 1/2-pound (1.6kg) spaghetti squash"",""1/2 cup (120ml) extra-virgin olive oil, plus more for drizzling on squash"",""Kosher salt"",""1/2 cup (2 1/2 ounces; 70g) hazelnuts, roughly chopped"",""1/8 teaspoon cayenne pepper"",""1 teaspoon (5ml) apple cider vinegar"",""1/2 cup (3 ounces; 85g) pomegranate seeds, plus more for garnish"",""15 fresh mint leaves, roughly torn, plus more for garnish""]","Spaghetti Squash Slaw With Mint, Hazelnuts, and Pomegranate",../assets/recipes/Spaghetti-Squash-Slaw-Mint-Hazelnuts-Pomegranate.webp,"[""Adjust oven rack to middle position and preheat oven to 400F (200C). Line a rimmed baking sheet with aluminum foil and set aside. Using a large knife, trim off stem end of spaghetti squash. Cut squash in half lengthwise, then scrape out and discard seeds. Arrange, cut side up, on prepared baking sheet. Drizzle lightly with olive oil, and rub all over until evenly coated. Season with salt."",""Roast squash until its flesh can be pierced with a fork without much resistance but the squash retains an al dente texture, about 35 minutes. Set aside to cool to room temperature."",""Meanwhile, combine 1/2 cup olive oil and hazelnuts in a medium skillet. Set over medium heat and cook, stirring frequently, until nuts are lightly toasted and fragrant, about 4 minutes. Stir in cayenne and remove from heat."",""When squash has cooled, use a fork to shred flesh into spaghetti-like strands, transferring them to a serving bowl as you go. Discard skins."",""Stir in toasted hazelnuts and the oil along with the apple cider vinegar and pomegranate seeds. Season with salt, then stir in mint. Garnish with additional pomegranate seeds and mint leaves and serve right away.""]",6,"[3,4,5,6]"
0,6390bf3a0366b27c760fe2bb,8,25,7,25,"These crispy and peppery fried plantain chips sport a spiced seasoning that will be familiar to anyone who knows the Pollo Campero restaurant chain, since it's modeled on their fried chicken seasoning. I'd already gone down the rabbit hole of making a copycat Pollo Campero fried chicken recipe, and I'd also recently published a recipe for basic fried plantain chips, so it seemed obvious to combine the two.",8,"[""2 teaspoons seasoning salt, such as Lawry's"",""1 teaspoon freshly ground black pepper"",""1 teaspoon white pepper"",""1/2 teaspoon cumin"",""1/2 teaspoon curry powder"",""1/2 teaspoon paprika"",""1/2 teaspoon MSG (optional)"",""1/4 teaspoon cayenne"",""2 green plantains"",""Vegetable oil, for frying (about 2 cups; 475ml)"",""Kosher salt""]",Pollo Campero–Seasoned Fried Plantain Chips,../assets/recipes/Pollo-Campero.webp,"[""In a small bowl, stir together seasoning salt, black pepper, white pepper, cumin, curry powder, paprika, MSG (if using), and cayenne."",""Cut off the ends of each plantain."",""Peel plantains and Cut plantains in half crosswise."",""Using a mandoline slicer, slice plantains lengthwise into planks 1/8-inch thick."",""Line a rimmed baking sheet with a wire rack. Fill a large, deep cast iron or stainless steel skillet halfway with oil. Set over medium-high heat until the oil reaches 350°F (175°C). Working in batches and avoiding crowing the pan, add plantain slices and fry, turning occasionally, until golden brown all over, about 4 minutes total. Using a spider strainer or slotted spoon, transfer plantains to wire rack to drain. Immediately season all over with the spice mixture followed by a sprinkling of salt. Repeat with remaining plantain slices.""]",8,"[1,4,7,5]"
0,6391ea6810fe5a71f4922d58,2,30,9,30,"Instead of Rice Krispies treats, many Latin Americans grow up eating these (no-bake!) clusters of cereal, sugar, and sweetened condensed milk. At a glance, the recipe appears too sweet, but the burnt sugar adds nuance and complexity to these irresistible morsels.",9,"[""Cooking spray"",""1 cup sugar"",""1 (14-ounce) can sweetened condensed milk"",""4 tablespoons (2 ounces) unsalted butter"",""1/2 teaspoon salt"",""7 cups corn flakes (from an 18-ounce box)""]",Empanadas of Latin America,../assets/recipes/image-1670507112740.webp,"[""Line 2 baking sheets with foil. Lightly spray with cooking spray. Fill medium bowl with cold water."",""Melt sugar in large heavy-bottomed pot or Dutch oven over medium heat until it becomes deep amber and just begins to smoke about 8 minutes. Add butter and salt and stir with wooden spoon until completely incorporated. While constantly stirring add sweetened condensed milk. Stir until completely incorporated then remove from heat."",""\r\nStir in cornflakes. With a soup spoon"","" scoop mixture out into approximately 2-tablespoon-sized balls. Dampen fingers and lightly press clusters together. Dip hands in water whenever they become sticky."",""Allow clusters to set at room temperature about 30 minutes. Serve."",""Leftovers may be stored for up to 3 days in an airtight container at room temperature or refrigerated. They will stick to each other if clumped.""]",36,"[1,2,3,4]"
0,6391f4107719ac23393181ba,2,15,11,8,"This macaroni and cheese—this pot of creamy, gooey, cheesy, glorious macaroni and cheese—was made with three ingredients in about 10 minutes. Seriously. That's one fewer ingredient than you need to add to the pot to make a box of Kraft macaroni and cheese.",10,"[""6 ounces (170g) elbow macaroni"",""Salt"",""6 ounces (180ml) evaporated milk"",""6 ounces (170g) grated mild or medium cheddar cheese, or any good melting cheese, such as Fontina, Gruyère, or Jack""]",Stovetop Mac and Cheese,../assets/recipes/image-1670509584186.webp,"[""Place macaroni in a medium saucepan or skillet and add just enough cold water to cover. Add a pinch of salt and bring to a boil over high heat, stirring frequently. Continue to cook, stirring, until water has been almost completely absorbed and macaroni is just shy of al dente, about 6 minutes."",""Immediately add evaporated milk and bring to a boil. Add cheese. Reduce heat to low and cook, stirring continuously, until cheese is melted and liquid has reduced to a creamy sauce, about 2 minutes longer. Season to taste with more salt and serve immediately.\r\n\r\n""]",2,"[1,2,3,4]"
